dep_depnum,dep_lat,dep_long
131261,42.92514,-102.49284
131262,42.92492,-102.49177
130021,42.92797,-102.49302
130022,42.92834,-102.49464
131301,42.92754,-102.48946
131302,42.92789,-102.48847
130661,42.93096,-102.49194
130662,42.93179,-102.49181
129631,42.93391,-102.48346
129632,42.93426,-102.48419
131141,42.93521,-102.48946
131142,42.93538,-102.48863
130301,42.93834,-102.48495
130302,42.93771,-102.48423
130621,42.92156,-102.49664
130622,42.92093,-102.49606
129791,42.9257,-102.48558
129792,42.92545,-102.48611
130431,42.92272,-102.47829
130432,42.92343,-102.47852
130381,42.93776,-102.49588
130382,42.93858,-102.49572
131461,42.93963,-102.49419
131462,42.94014,-102.494
130671,42.91386,-102.5106
130672,42.91333,-102.51105
130361,42.91229,-102.5136
130362,42.91188,-102.51305
131001,42.91032,-102.51832
131002,42.9112,-102.51875
130941,42.91741,-102.50867
130942,42.91839,-102.50806
130271,42.93248,-102.47803
130272,42.93309,-102.47884
130911,42.92788,-102.48251
130912,42.9283,-102.48209
131941,42.93378,-102.49451
131942,42.93429,-102.49467
132101,42.94299,-102.49241
132102,42.94242,-102.49267999999999
132541,42.9435,-102.48737
132542,42.94374,-102.48643
132511,42.92979,-102.48289
132512,42.9292,-102.48332
132671,42.92399,-102.4837
132672,42.92433,-102.48412
027931,42.90559,-99.01142
027932,42.90574,-99.01205
026531,42.90227,-99.00294
026532,42.90142,-99.0022
026011,42.90556,-99.00671
026012,42.9049,-99.00648
027391,42.90266,-99.05022
027392,42.90227,-99.04954
026751,42.90366,-99.04735
026752,42.90365,-99.0466
025951,42.90057,-99.04198
025952,42.90006,-99.04205
027181,42.9016,-99.04234
027182,42.90279,-99.04248
027091,42.90181,-99.02248
027092,42.90263,-99.02228
027261,42.91645,-99.00201
027262,42.91681,-99.00106
027571,42.89967,-99.0231
027572,42.89971,-99.02386
026961,42.91641,-98.96316
026962,42.91598,-98.96294
029631,42.90276,-99.02626
029632,42.90252,-99.0257
028061,42.92533,-99.00838
028062,42.92586,-99.00842
030941,42.9083,-99.00707
030942,42.90762,-99.00739
030211,42.8991,-99.00013
030212,42.89872,-98.99953
026141,42.92333,-98.9996
026142,42.92388,-99.00032
026781,42.92127,-99.00069
026782,42.92175,-99.00091
028371,42.90256,-99.00984
028372,42.90225,-99.00856
028891,42.90387,-99.00474
028892,42.90302,-99.00398
026811,42.9024,-99.01732
026812,42.90323,-99.01805
026171,42.90516,-99.01726
026172,42.90441,-99.01761
027451,42.90315,-99.0142
027452,42.90327,-99.01299
026111,42.90181,-99.03305
026112,42.90232,-99.03288
000591,40.82841,-95.87292
000592,40.82804,-95.87254
000911,40.83347,-95.86697
000912,40.83382,-95.86621
001551,40.8312,-95.86621
001552,40.83154,-95.86682
000151,40.82807,-95.86728
000152,40.82864,-95.86688
001211,40.80302,-95.85271
001212,40.80295,-95.85114
001251,40.80722,-95.85233
001252,40.80684,-95.85074
000661,40.80872,-95.85214
000662,40.8094,-95.85316
000531,40.79294,-95.85447
000532,40.79306,-95.85376
000091,40.79353,-95.84744
000092,40.79377,-95.84819
001531,40.79488,-95.841
001532,40.79389,-95.84084
001131,40.81164,-95.86502
001132,40.81106,-95.86517
002091,40.80923,-95.86867
002092,40.81014,-95.86848
001571,40.81413,-95.85841
001572,40.81337,-95.8584
000931,40.81822,-95.84634
000932,40.8173,-95.84606
000981,40.81633,-95.85143
000982,40.81687,-95.85167
000501,40.81878,-95.85072
000502,40.81985,-95.85146
000181,40.82414,-95.85287
000182,40.82441,-95.85353
000041,40.83137,-95.85899
000042,40.83241,-95.85918
000971,40.80797,-95.86546
000972,40.80744,-95.86594
000611,40.81095,-95.84856
000612,40.81065,-95.84799
000201,40.82616,-95.8567
000202,40.82655,-95.85742
000171,40.82504,-95.8624
000172,40.82573,-95.86233
000341,40.82311,-95.85713
000342,40.82273,-95.85564
017301,40.19962,-97.23214
017302,40.20002,-97.23188
017811,40.19608,-97.22788
017812,40.19667,-97.22885
018451,40.19932,-97.22784
018452,40.19815,-97.22672
017341,40.19414,-97.22765
017342,40.19313,-97.22739
018781,40.18752,-97.21955
018782,40.18854,-97.22067
017581,40.18453,-97.21623
017582,40.18542,-97.21711
017541,40.1856,-97.21331
017542,40.18696,-97.21328
018661,40.18786,-97.21479
018662,40.18945,-97.21429
018021,40.19572,-97.20535
018022,40.19568,-97.20623
017381,40.19279,-97.20396
017382,40.19259,-97.20544
018651,40.19687,-97.21775
018652,40.1979,-97.21677
017411,40.20003,-97.20882
017412,40.19996,-97.21078
018171,40.19898,-97.20802
018172,40.19947,-97.20697
018011,40.20369,-97.21864
018012,40.20338,-97.21758
017851,40.20296,-97.2104
017852,40.20376,-97.21072
017691,40.20223,-97.20569
017692,40.20268,-97.20563
017501,40.194,-97.22112
017502,40.1932,-97.22047
017661,40.19134,-97.21465
017662,40.19226,-97.21455
018941,40.19206,-97.21287
018942,40.19118,-97.21203
017531,40.19836,-97.22243
017532,40.19869,-97.22344
018931,40.20188,-97.22283
018932,40.20268,-97.22346
018101,40.19743,-97.23889
018102,40.19592,-97.23847
019061,40.19073,-97.22507
019062,40.19124,-97.22613
008861,41.45274,-96.07439
008862,41.45326,-96.0743
009141,41.44997,-96.07554
009142,41.45003,-96.07621
008981,41.4444,-96.07684
008982,41.44405,-96.07744
009341,41.45779,-96.07623
009342,41.45743,-96.07684
009001,41.45084,-96.05466
009002,41.45042,-96.05521
008721,41.45224,-96.05434
008722,41.45302,-96.05358
009091,41.4465,-96.07214
009092,41.44644,-96.0714
010211,41.43881,-96.05138
010212,41.43851,-96.05029
008841,41.44935,-96.0476
008842,41.45005,-96.04742
008881,41.45211,-96.04787
008882,41.45232,-96.04717
008771,41.4397,-96.0575
008772,41.43891,-96.05792
009251,41.44487,-96.06351
009252,41.44504,-96.0624
009561,41.45893,-96.03105
009562,41.4582,-96.03094
010431,41.46321,-96.04974
010432,41.4637,-96.04819
009841,41.45885,-96.042
009842,41.45859,-96.04144
009811,41.42885,-96.05548
009812,41.42931,-96.05482
010041,41.45484,-96.0387
010042,41.45419,-96.03833
010641,41.4561,-96.04607
010642,41.45693,-96.04584
008941,41.4396,-96.06432
008942,41.43929,-96.06364
009581,41.43777,-96.06366
009582,41.43818,-96.06395
010121,41.44332,-96.05231
010122,41.44305,-96.05326
009641,41.44094,-96.04662
009642,41.44142,-96.04684
010051,41.43267,-96.05556
010052,41.43265,-96.05496
